0110	XXVI Niedziela Zwyka A
0210p	witych Aniow Strw
0310p	Dzie powszedni
0410p	w. Franciszka z Asyu
0510p	w. Faustyny Kowalskiej, dziewicy
0610p	Dzie powszedni
0710p	Najwitszej Maryi Panny Racowej
0810	XXVII Niedziela Zwyka A
0910w2	B. WINCENTEGO KADUBKA, BISKUPA
1010p	Dzie powszedni
1110p	Dzie powszedni
1210p	Dzie powszedni
1310p	B. Honorata Komiskiego, prezbitera
1410p	Dzie powszedni
1510p	XXVIII Niedziela Zwyka A
1610p	w. Jadwigi lskiej
1710	w. Ignacego Antiocheskiego, biskupa i mczennika
1810	W. UKASZA, EWANGELISTY
1910p	Dzie powszedni
2010w	(UR) W. JANA KANTEGO, PREZBITERA, gwnego patrona archidiecezji i miasta
2110p	Dzie powszedni
2210p	XXIX Niedziela Zwyka A
2310p	Dzie powszedni
2410p	Dzie powszedni
2510p	Dzie powszedni
2610p	Dzie powszedni
2710	Dzie powszedni
2810p	WITYCH APOSTOW SZYMONA I JUDY TADEUSZA
2910p	(UR) ROCZNICA POWICENIA KOCIOA WASNEGO
3010p	Dzie powszedni
3110p	Dzie powszedni
